ID,Nombre Restaurante,Dirección,Distrito Postal,Localidad,Provincia
30,El ninot,"Calle de Ntra. Sra. de Valverde, 193, 28034 Madrid",28034,Madrid,Madrid
31,El Olivo,"C/ Belgrado 18 Pol. ind. Europolis, 28232 Las Rozas, España",28232,Las Rozas,Madrid
32,El Sarao (hacen tardeos de flamenquito),,,,Madrid
33,Excalibur,"C. de Martín de los Heros, 28, 28008 Madrid",28008,Madrid,Madrid
34,Florida Park Madrid,"Retiro, Madrid",28009,Madrid,Madrid
35,FORTUNY HOME CLUB,"C. de Fortuny, 34, 28010 Madrid",28010,Madrid,Madrid
36,Ginkgo Sky Bar,"Plaza España nº 3, Planta 12 - 28008 Madrid",28008,Madrid,Madrid
37,Grupo La La La,"C/ Pradillo, 5 - Madrid",28002,Madrid,Madrid
38,Grupo Larrumba,"C. de Francisco Campos, 13, 28002 Madrid",28002,Madrid,Madrid
39,Hard Rock Hotel Madrid,"Rda. de Atocha, 17, 28012 Madrid",28012,Madrid,Madrid
40,Irish Pub,"Restaurant Support Centre. C/ Arrastaria nº 21, 28022 Madrid",28022,Madrid,Madrid
41,Jardín de la máquina,"Av. de la Victoria, s/n, 28023 Madrid",28023,Madrid,Madrid
42,Krado,"C. Rafael Botí, 2, Aravaca - 28023 Madrid",28023,Aravaca,Madrid
43,La Casa de la Gioia - Baldoria,"C. de José Ortega y Gasset, 100, 28006 Madrid, Acceso por C. de las Mártires Concepcionistas, 23",28006,Madrid,Madrid
44,La Favorita,"Calle de Covarrubias, 25, 28010 Madrid",28010,Madrid,Madrid
45,La Flaca Bar de Copas,Calle Serrano 45. 28001 Madrid,28001,Madrid,Madrid
46,La Fonda Lironda (Grupo Carbón Negro),"Calle de Génova 27, Madrid",28004,Madrid,Madrid
47,La madrugá de sanse,"Calle Isla Alegranza, 3 - Nave 3 -, San Sebastián de los Reyes, Spain",28703,San Sebastián de los Reyes,Madrid
48,La Mamona Chamberí,"C/ Ponzano, 7 - 28010 Madrid",28010,Madrid,Madrid
49,La Negra Tomasa,"Calle Cádiz, 9, 28012, Madrid",28012,Madrid,Madrid
50,La Plata Torrelodones - Bar Restaurante,"Parque Floridablanca. C. Prado de la Margara, 2. 28250 Torrelodones, Madrid",28250,Torrelodones,Madrid
51,La Terraza de Mau Mau,"C. del Padre Damián, 23, 28036 Madrid",28036,Madrid,Madrid
52,La Terraza de Palacio," P.º de la Virgen del Puerto, 1, 28013 Madrid",28013,Madrid,Madrid
53,Lanteo Madrid,"C/ Rafael Calvo 38, 28010, Madrid",28010,Madrid,Madrid
54,Le Kañí,"C/ Maldonado, 4 - 28006 Madrid",28006,Madrid,Madrid
55,Los Jardines de Bako,"Av. España, 14, 28220 Majadahonda, Madrid",28220,Majadahonda,Madrid
56,Los Kioskos (Florida Park),"Parque de El Retiro, Paseo de Panamá, s/n, 28009 Madrid",28009,Madrid,Madrid
57,Madre Flaca,"Calle del Olmo, 26, 28012 Madrid",28012,Madrid,Madrid
58,Maison Umami,"Av. Juan Antonio de Samaranch 76, local 5",28055,Madrid,Madrid
59,Mala Maluca Bar Concierto,"Ctra. de Pozuelo, 48, 28222 Majadahonda, Madrid",28222,Majadahonda,Madrid
60,Marabú Restaurante,"Calle Ponzano, 37, 28003 Madrid",28003,Madrid,Madrid
61,Maravillas club,"Calle San Vicente Ferrer, 33. 28004, Madrid.",28004,Madrid,Madrid
62,Margarita Madrid,"C/ María de Molina 50 - 28006, Madrid",28006,Madrid,Madrid
63,Martilota Restaurante,"Plaza de la Paloma, 28801, Alcalá de Henares, Madrid",28801,Alaclá de Henares,Madrid
64,Más que Pintxos,"Centro Comercial El Encinar de los Reyes, C. del Camino del Cura, 10, 28109 Alcobendas, Madrid",28109,Alcobendas,Madrid
65,Media Vuelta The Rooftop,"Calle matemáticos 8 Local, 3A, 28222 Majadahonda, Madrid",28222,Majadahonda,Madrid
66,Meneo Ponzano,"C. de Ponzano, 34, 28003 Madrid",28003,Madrid,Madrid
67,Mentidero Restaurantes,"Calle Almagro, 20, 28010 Madrid",28010,Madrid,Madrid
68,MistMeals,"C. Beatriz Galindo, 16, 3-D, 28803 Alcalá de Henares, Madrid",28803,Alcalá de Henares,Madrid
69,Mona Lounge Majadahonda,"Carretera de Pozuelo, N°48, c.c. la bolsa, Local 22 28222 Majadahonda",28222,Majadahonda,Madrid
70,Neotaberna de Santerra (Grupo Santerra),"Calle de Ponzano, 62, 28003 Madrid",28003,Madrid,Madrid
71,Official Irish Pub - SHAMROCK,"C/ del Caño, 2 - Galapagar 28260 Madrid",28260,Galapagar,Madrid
72,Officil Irish Pub - THE JAMES JOYCE,"Calle de Alcalá, 59, 28014 Madrid",28014,Madrid,Madrid
73,Palacio Criollo,"c/ Electrodo, 32. 28522 Rivas Vaciamadrid",28522,RIvas - Vaciamadrid,Madrid
74,Papúa Colón,Plaza de Colón 4 28001 Madrid,28001,Madrid,Madrid
75,Patio de Leones,"Serrano 1, Madrid, Spain, 28001",28001,Madrid,Madrid
76,Più di Prima,"Paseo Pintor Rosales, 30 - 28008 Madrid",28008,Madrid,Madrid
77,Restaurante Abascal,"Calle de Fernández de la Hoz, 66, 28010 Madrid",28010,Madrid,Madrid
78,Restaurante Actual,"Plaza de Grecia, 2 Madrid 28022",28022,Madrid,Madrid
79,Restaurante Killo Madrid,"Calle de Joaquín María López, 46, 28015 Madrid",28015,Madrid,Madrid
80,Restaurante Latigazo.World,"C/ de las Infantas, 28 - 28004 Madrid",28004,Madrid,Madrid
81,Restaurante san francisco,"Carretera Cristo del Pardo s/n, El Pardo, 28048 Madrid",28048,Madrid,Madrid
82,Restaurante Tatel,"P.º de la Castellana, 36, 28046 Madrid",28046,Madrid,Madrid
83,Revoltosa Plaza del Rey,"Plaza del Rey, 4 - Chueca",28004,Madrid,Madrid
84,Revoltosa Prado,"Calle del Prado, 4",28014,Madrid,Madrid
85,Rita La Cataora,Pista del Cristo de El Pardo nº3 bis 28048 Madrid,28048,Madrid,Madrid
86,Rockade Malasaña y la Latina Madrid,"Cl. del Marqués de Sta. Ana, 11, 28004 Madrid / Cl. del Marqués de Sta. Ana, 11, 28004 Madrid",28004,Madrid,Madrid
87,Salitre Madrid,"Calle Juan Bravo, 25, 28006, Madrid",28006,Madrid,Madrid
88,Santito Café Madrid,"Avenida de América, 29, 28002 Madrid",28002,Madrid,Madrid
89,Seducción a la carta,"Infanta Mercedes 31, Madrid",28020,Madrid,Madrid
90,Taberna del Volapié,"Avda. Islas Filipinas, 1 - 28003 Madrid",28003,Madrid,Madrid
91,Taberna los Gallos,"C. de Puigcerda, 6, 28001 Madrid",28001,Madrid,Madrid
92,Tabernas Bienmesabe,"Gral. López Pozas, 8 - 28036 Madrid",28036,Madrid,Madrid
93,Tony 2 Piano Bar,"Calle del Almte., 9, 28004 Madrid",28004,Madrid,Madrid
94,Totó Restaurante,"Paseo de la Castellana, 38, 28046 Madrid",28046,Madrid,Madrid
95,Van Gogh Café,"Plaza Ferrocarril 4, Las Matas 28290",28290,Las Matas,Madrid
