id,Date,Title,acf_musico_nombre_artistico,acf_musico_provincia,acf_musico_tipo,acf_musico_formatos_disponibles,acf_musico_precio_minimo_dj,acf_musico_coste_hora_extra_dj,acf_musico_precio_minimo_solista,acf_musico_coste_hora_extra_solista,acf_musico_precio_minimo_duo,acf_musico_coste_hora_extra_duo,acf_musico_precio_minimo_trio,acf_musico_coste_hora_extra_trio,acf_musico_precio_minimo_cuarteto,acf_musico_coste_hora_extra_cuarteto,acf_musico_precio_minimo_conjunto,acf_musico_coste_hora_extra_conjunto,acf_musico_precio_minimo_banda_bateria,acf_musico_coste_hora_extra_banda_bateria,acf_musico_genero_musical,acf_musico_url_youtube_1,acf_musico_url_youtube_2,acf_musico_url_youtube_3,acf_musico_titulo_youtube_4,acf_musico_titulo_youtube_5,acf_musico_repertorio_completo,estados músico,Nº CONTRATACIONES,Author ID
8751,2022-03-18,E.D.D.B,E.D.D.B,Madrid,DJ,a:0:{},100,50,,,,,,,,,,,,,"a:2:{i:0;s:5:""House"";i:1;s:6:""Techno"";}",https://www.youtube.com/watch?v=zET9zPVGLJ0&t=21s,,,,,,Completo,0,577
8752,2022-03-18,Jacks,Jacks,Barcelona,Músico,"a:2:{i:0;s:7:""Solista"";i:1;s:4:""Dúo"";}",,,150,50,250,80,,,,,,,,,"a:5:{i:0;s:9:""Acústico"";i:1;s:5:""Blues"";i:2;s:7:""Country"";i:3;s:3:""Pop"";i:4;s:4:""Rock"";}",,,,,,,Completo,0,578
8757,2022-03-18,Djandres Pestana,Djandres Pestana,Madrid,DJ,a:0:{},100,40,,,,,,,,,,,,,"a:13:{i:0;s:7:""Bachata"";i:1;s:9:""Chill out"";i:2;s:5:""Dance"";i:3;s:10:""Deep House"";i:4;s:3:""EDM"";i:5;s:11:""Electronica"";i:6;s:5:""Funky"";i:7;s:5:""House"";i:8;s:3:""Pop"";i:9;s:9:""Reggeaton"";i:10;s:5:""Rumba"";i:11;s:5:""Salsa"";i:12;s:6:""Techno"";}",,,,,,,Completo,0,581
8758,2022-03-18,DJ Xuky Barbate,DJ Xuky Barbate,Cádiz,DJ,,100,50,,,,,,,,,,,,,"a:15:{i:0;s:7:""Bachata"";i:1;s:5:""Dance"";i:2;s:5:""Disco"";i:3;s:3:""EDM"";i:4;s:11:""Electronica"";i:5;s:11:""Flamenquito"";i:6;s:5:""House"";i:7;s:6:""Latina"";i:8;s:8:""Merengue"";i:9;s:9:""Reggeaton"";i:10;s:4:""Rock"";i:11;s:5:""Rumba"";i:12;s:5:""Samba"";i:13;s:5:""Salsa"";i:14;s:6:""Techno"";}",https://www.youtube.com/watch?v=Yy72Wz-FP3g,,,,,,Completo,0,582
8760,2022-03-19,Isra Redondo,Isra Redondo,Córdoba,Músico,"a:3:{i:0;s:7:""Solista"";i:1;s:4:""Dúo"";i:2;s:5:""Trío"";}",,,300,100,450,100,600,100,,,,,1000,100,"a:7:{i:0;s:9:""Chill out"";i:1;s:9:""Comercial"";i:2;s:5:""Disco"";i:3;s:3:""EDM"";i:4;s:4:""Jazz"";i:5;s:3:""Pop"";i:6;s:4:""Rock"";}",https://www.youtube.com/watch?v=VYEIJq7tvXQ,,,,,"Viva la Vida - Coldplay
Shape of You - Ed Sheran
Blinding Lights - The Weeknd
Titanium - David Guetta & Sia
Bad Guy - Billie Eilish
Sugar - Maroon 5
Marry You - Bruno Mars
7 Rings - Ariana Grande
Stayin' Alive - Bee Gees
Beat It - Michael Jackson
Bohemian Rhapsody - Queen
Rolling in the Deep - Adele 
Havana - Camila Cabello
New Rules - Dua Lipa
Cold Heart - Dua Lipa & Elton John (PNAU Remix)
I'm Yours - Jason Mraz
Tacones Rojos - Sebastián Yatra
Todo de ti - Rauw Alejandro
Woman - Doja Cat
Somebody That I Used to Know - Gotye
Love Yourself - Justin Bieber",Completo,0,585
8761,2022-03-19,Sones del Sur flamenco fusion,Sones del Sur flamenco fusion,Almería,Músico,"a:2:{i:0;s:5:""Trío"";i:1;s:8:""Cuarteto"";}",,,,,,,350,200,450,200,,,,,"a:1:{i:0;s:11:""Flamenquito"";}",,,,,,,Completo,0,586
8764,2022-03-19,Dj Michelle,Dj Michelle,Barcelona,DJ,a:0:{},100,25,,,,,,,,,,,,,"a:11:{i:0;s:7:""Bachata"";i:1;s:9:""Chill out"";i:2;s:10:""Deep House"";i:3;s:3:""EDM"";i:4;s:11:""Electronica"";i:5;s:11:""Flamenquito"";i:6;s:5:""House"";i:7;s:6:""Latina"";i:8;s:9:""Reggeaton"";i:9;s:5:""Salsa"";i:10;s:6:""Techno"";}",,,,,,,Completo,0,587
8767,2022-03-19,Slurp!,Slurp!,Barcelona,Músico,"a:3:{i:0;s:4:""Dúo"";i:1;s:5:""Trío"";i:2;s:18:""Banda con batería"";}",,,,,240,100,360,100,,,,,500,180,"a:3:{i:0;s:9:""Acústico"";i:1;s:5:""Indie"";i:2;s:4:""Rock"";}",https://youtu.be/fPMkCWS5aiQ,,,,,,Completo,0,588
8769,2022-03-19,Alejandro Caprale,Alejandro Caprale,Barcelona,DJ,a:0:{},120,40,,,,,,,,,,,,,"a:6:{i:0;s:9:""Chill out"";i:1;s:3:""EDM"";i:2;s:5:""House"";i:3;s:3:""Pop"";i:4;s:9:""Reggeaton"";i:5;s:4:""Rock"";}",,,,,,,Completo,0,589
8770,2022-03-19,Coverage,Coverage,Cantabria,Músico,"a:1:{i:0;s:18:""Banda con batería"";}",,,,,,,,,,,,,600,180,"a:3:{i:0;s:9:""Hard Rock"";i:1;s:5:""Metal"";i:2;s:4:""Rock"";}",https://youtu.be/ATbsMjZhzWg,,,,,,Completo,0,590
8771,2022-03-19,DjPrieto,DjPrieto,Jaén,DJ,a:0:{},50,25,,,,,,,,,,,,,"a:5:{i:0;s:11:""Electronica"";i:1;s:11:""Flamenquito"";i:2;s:6:""Latina"";i:3;s:6:""Reggae"";i:4;s:9:""Reggeaton"";}",,,,,,,Completo,0,591
8772,2022-03-19,Djjuanma,Djjuanma,Cádiz,DJ,a:0:{},120,40,,,,,,,,,,,,,"a:10:{i:0;s:11:""Alternativa"";i:1;s:7:""Bachata"";i:2;s:5:""Dance"";i:3;s:5:""Disco"";i:4;s:11:""Electronica"";i:5;s:11:""Flamenquito"";i:6;s:9:""Reggeaton"";i:7;s:4:""Rock"";i:8;s:5:""Rumba"";i:9;s:5:""Salsa"";}",,,,,,,Completo,0,592
8774,2022-03-19,Alex pita dj,Alex pita dj,Pontevedra,DJ,a:0:{},400,50,,,,,,,,,,,,,"a:4:{i:0;s:7:""Bachata"";i:1;s:6:""Latina"";i:2;s:3:""Pop"";i:3;s:5:""Otros"";}",,,,,,,Completo,0,593
8775,2022-03-19,Dj Lucas ds,Dj Lucas ds,Alicante,DJ,a:0:{},100,50,,,,,,,,,,,,,"a:3:{i:0;s:7:""Bachata"";i:1;s:11:""Electronica"";i:2;s:9:""Reggeaton"";}",,,,,,,Completo,0,594
8776,2022-03-20,Grupo Bogart,Grupo Bogart,Huelva,Músico,"a:1:{i:0;s:18:""Banda con batería"";}",,,,,,,,,,,,,1500,200,"a:2:{i:0;s:4:""Rock"";i:1;s:15:""Tributo a banda"";}",https://www.youtube.com/watch?v=URZI-y7IvJY,https://www.youtube.com/watch?v=o9OnaYp0hL4&list=PLS7kzQzJmyboVaV8Ko-WuPvaxFgcpyjql&index=3,https://www.youtube.com/watch?v=X5kmC-fIndw&list=PLS7kzQzJmyboF3OwBu_UR9Pob8w6iiJC8&index=2,,,,Completo,0,595
8783,2022-03-20,DJ KIN,DJ KIN,Baleares,DJ,a:0:{},200,25,,,,,,,,,,,,,"a:13:{i:0;s:7:""Bachata"";i:1;s:5:""Dance"";i:2;s:5:""Disco"";i:3;s:11:""Electronica"";i:4;s:5:""Funky"";i:5;s:6:""HipHop"";i:6;s:6:""Latina"";i:7;s:8:""Merengue"";i:8;s:3:""Pop"";i:9;s:9:""Reggeaton"";i:10;s:4:""Rock"";i:11;s:5:""Salsa"";i:12;s:5:""Otros"";}",,,,,,,Completo,0,596
8785,2022-03-20,Jimmy Trias,Jimmy Trias,Barcelona,DJ,a:0:{},300,75,,,,,,,,,,,,,"a:1:{i:0;s:9:""Comercial"";}",https://www.youtube.com/watch?v=McKD8A1dBbk&ab_channel=JimmyTrias,https://youtu.be/Nmb1_p2wLxQ,,,,,Completo,0,597
8798,2022-03-21,Davide Madriles,Davide Madriles,Madrid,DJ,a:0:{},100,50,,,,,,,,,,,,,"a:9:{i:0;s:5:""Disco"";i:1;s:11:""Flamenquito"";i:2;s:5:""Funky"";i:3;s:5:""House"";i:4;s:6:""Latina"";i:5;s:5:""Rumba"";i:6;s:6:""Techno"";i:7;s:6:""Trance"";i:8;s:15:""Tributo a banda"";}",https://youtu.be/B0wrCNYpIS8,,,,,,Completo,0,602
8806,2022-03-21,Nyno Martín,Nyno Martín,Madrid,DJ,a:0:{},100,50,,,,,,,,,,,,,"a:8:{i:0;s:7:""Bachata"";i:1;s:3:""EDM"";i:2;s:13:""Flamenco puro"";i:3;s:11:""Flamenquito"";i:4;s:6:""Latina"";i:5;s:3:""Pop"";i:6;s:9:""Reggeaton"";i:7;s:4:""Trap"";}",https://www.instagram.com/p/CYAIeW5Io_g/?igshid=YmMyMTA2M2Y=,,,,,,Completo,0,603
8808,2022-03-21,Al Sur del Compás,Al Sur del Compás,Sevilla,Músico,"a:1:{i:0;s:4:""Dúo"";}",,,,,300,100,,,,,,,,,"a:4:{i:0;s:11:""Flamenquito"";i:1;s:3:""Pop"";i:2;s:5:""Rumba"";i:3;s:5:""Otros"";}",https://youtu.be/o7sVdCaxrZ0,https://youtu.be/RRCFuglJXf4,https://youtu.be/T2jwOIi36ss,,,"SEVILLANAS
Mi primer camino
Mágica primavera
Quisiera vivir en lo alto
Vivir la feria
Cruzando un puente
Pasa la vida
Deja que te mire
Por lo bien que la bailao
Sal a bailar  .............
RUMBAS
Cuando vuelva a Sevilla
Las noches del camino
Con la primavera
Uno x uno
Se te nota en la mirada
Color esperanza
Dejate querer
Todos los besos
Me encanta
Varios popurris muy muy marchosos  .....
Y muchos temas mas.",Completo,0,604
8809,2022-03-21,David Berlanga,David Berlanga,Granada,DJ,a:0:{},100,50,,,,,,,,,,,,,"a:3:{i:0;s:3:""EDM"";i:1;s:9:""Reggeaton"";i:2;s:6:""Techno"";}",https://youtu.be/gsJ2H-uJA-k,,,,,,Completo,0,607
8810,2022-03-21,Gabriel Piattore y Shalo Cantor,Gabriel Piattore y Shalo Cantor,Soria,Músico,"a:1:{i:0;s:4:""Dúo"";}",,,,,240,80,,,,,,,,,"a:4:{i:0;s:6:""Latina"";i:1;s:3:""Pop"";i:2;s:9:""Reggeaton"";i:3;s:5:""Salsa"";}",https://www.youtube.com/watch?v=I_j0U5PE9ZM,https://youtu.be/pOqVJyJp9vU,https://www.youtube.com/watch?v=T3Xu2DsHTjQ,,,"Reggaeton
Felices los Cuatro - Maluma
Hawai - Maluma
No me Llames - Jerry D
Orgullo - J Quille
Verano en París - Jerry D
Despacito - Luis Fonsi
X - J balvin

Salsa y Son
El Cantante - Hector Lavoe
Hasta Ayer - Marc Anthony
La Conciencia - Gilberto Santa Rosa
Lágrimas Negras - Miguel Matamoros
Mujer Divina - Joe Cuba

Boleros
La Gloria Eres Tu
Besame Mucho 
Como Fue - Ernesto Duarte
Contigo Aprendí- A, Manzanero
Contigo en la Distancia - Christina Aguilera
Contigo en la Distancia
Delirio-Cesar Portillo de la Cruz
Esperame en el Cielo-Paquito López
Esta Tarde Vi Llover A. Manzanero
Inolvidable
La Barca
LA Gloria Eres Tu - J.A Méndez
La Media Vuelta - Luis Miguel 
La Mentira - Alvaro Carrillo 
La Puerta - Luís Demetrio 
No me Platiques Ya - Vicente Garrido 
Nose Tu- A, Manzanero 
Novia Mia J.A. Mendez 
Sabor a Mi 
Si me Comprendieras - J.A, MÉNDEZ
¡Somos Novios - A. Manzanero
Tu Me Acostumbraste - Frank Dominguez
Un Amor de la Calle- Hector Lavoe
Un Poco Mas -Alvaro Carrillo
Verdad Amarga-Consuelo Velázquez
Voy Apagar la Luz - A. Manzanero

Ingles
Across The Universe - The Beatles
All My Loving - Amy Winehouse
Come Together - The Beatles
Fly me to the moon
Happy Together The Turtles 
Mistletoe - Justin Beaver 
Rolling In The Deep - Adele 
Autumn . Leaves - Johnny Mercer
Just The Way You Are - Bruno Mars

Balada Pop
Adoro - David Bisbal
Anhelo En La Lluvia - Los Pelaos 
Arroyito-Fonseca
Aunque Sea Poco - Vos Veis
Besos Usados - Andres Cepeda
Cara Luna - Bacilos 
Color Esperanza - Diego Torres
Como Te Atreves- Andres Cepeda
Desesperado - Andres Cepeda
Dia Tras Dia - Andres Cepeda
Enfermedad De Ti - Andres Cepeda
Entre en Mi Vida - Sin Bandera
Eres Más - Guaco.pdf
Eres Parte de Todo
Es Por Ti- Juanes 
Faltaran - Andres Cepeda
Farolito - Vos Veis
Fotografía Juanes. pdf
Lo Mejor Que Hay en Mi Vida - Andres Cepeda
Locura Mia - Andres Cepeda
Luna - Zoe 
Mi Niña Bonita - Chino y Nacho
Mi Tormenta Favorita - Reik
Locura mia - Andres Cepeda
Nada Fue Un Error - Koino Yokan
No tiene sentido - Andres Cepeda
Nubes Negras - Los de Adentro
Piel Canela - Andres Cepeda 
Quiero Que te Quedes - Adriana Lucia
Rumba en Mi Corazón - Servando y Florentino
Sabra Dios - Andres Cepeda
Se Morir - Andres Cepeda
Solito Con Las Estrellas - Andres Cepeda
Sueños - Diego Torres
Swing Romanticon - Monsieur Perine 
Tanto la Queria - Andy y Lucas
Te Mando Flores - Fonseca
Te Mentiria - Gian Marco
Tengo Ganas - Andres Cepeda
Tu Amor Para Navidad - Simon
Un Ratito - Andres Cepeda
Un Violinista En Tu Tejado - Melendi
Volví a Nacer - Carlos Vives
Mi Historia Entre Tus Dedos  - Gianluca Grignani

Flamenquito y Española
Blanco Y Negro -Malu 
Camino Soria - Gabinete Caligari
Corazon Partio - Alejandro Sanz
No Puedo Vivir Sin Ti-Pol Sebastián
Por La Raja de tu Falda -Estopa
Saltan Chispas - Rozalén
Solo Se Me Ocurre Amarte - Alejandro Sanz
Soñar contigo Zenet - Verónica Lamur Versión
Vino Tinto - Estopa 
Y Nos Dieron Las Diez-Joaquin Sabina 
Zapatillas - El Canto del Loco
Izal - La Mujer de Verde

Bossa Nova y Brasil
Natiruts - Quero Ser Feliz Também
Natiruts - Sorri, Sou Rei
Chica de Ipanema - Carlos Jobim",Completo,0,608
8840,2022-03-21,ROLL IT SHOW,ROLL IT SHOW,Valencia,DJ,a:0:{},2500,150,,,,,,,,,,,,,"a:4:{i:0;s:3:""EDM"";i:1;s:11:""Electronica"";i:2;s:6:""Latina"";i:3;s:9:""Reggeaton"";}",https://www.youtube.com/watch?v=FMwNRODZvtE&ab_channel=RulerMusic,,,,,,Completo,0,359
8881,2022-03-21,Lorenzo Alba Dj,Lorenzo Alba Dj,Madrid,DJ,a:0:{},60,50,,,,,,,,,,,,,"a:6:{i:0;s:5:""Disco"";i:1;s:11:""Flamenquito"";i:2;s:5:""Funky"";i:3;s:5:""House"";i:4;s:5:""Indie"";i:5;s:9:""Reggeaton"";}",https://www.youtube.com/watch?v=c_P0rypAql8&t=446s&ab_channel=LorenzoDjMadrid,https://www.youtube.com/watch?v=Yu1zgea2bIM&ab_channel=LorenzoDjMadrid,https://www.youtube.com/watch?v=AZ2FDVfbLT0&t=2s&ab_channel=LorenzoDjMadrid,,,,Completo,0,609
8896,2022-03-21,InVersion,InVersion,Madrid,Músico,"a:1:{i:0;s:5:""Trío"";}",,,,,,,340,80,,,,,340,80,"a:4:{i:0;s:9:""Acústico"";i:1;s:10:""Bossa Nova"";i:2;s:3:""Pop"";i:3;s:4:""Rock"";}",https://www.youtube.com/watch?v=pomsrp6lvxo,,,,,,Completo,0,610
8897,2022-03-21,Victoria moreno,Victoria moreno,Barcelona,Músico,"a:1:{i:0;s:7:""Solista"";}",,,200,200,,,,,,,,,,,"a:7:{i:0;s:8:""A capela"";i:1;s:9:""Acústico"";i:2;s:7:""Bachata"";i:3;s:11:""Flamenquito"";i:4;s:7:""Karaoke"";i:5;s:9:""Reggeaton"";i:6;s:5:""Otros"";}",https://youtube.com/shorts/5S61r9_j5DM?feature=share,,,,,,Completo,0,611
8898,2022-03-21,Enrique Santiago 'Rumba y Fusion',Enrique Santiago 'Rumba y Fusion',Barcelona,Músico,"a:6:{i:0;s:7:""Solista"";i:1;s:4:""Dúo"";i:2;s:5:""Trío"";i:3;s:8:""Cuarteto"";i:4;s:27:""Banda/Conjunto sin batería"";i:5;s:18:""Banda con batería"";}",,,250,100,450,80,450,80,550,80,650,80,800,80,"a:7:{i:0;s:9:""Acústico"";i:1;s:9:""Chill out"";i:2;s:13:""Flamenco puro"";i:3;s:11:""Flamenquito"";i:4;s:12:""Instrumental"";i:5;s:5:""Rumba"";i:6;s:5:""Salsa"";}",https://youtu.be/SicmiSLraMo,https://youtu.be/JSKwM_pQFis,https://youtu.be/l5Q9mutvXp4,,,"Repertorio variado con versiones de temas de artistas como Estopa, Melendi, Juaquin Sabina, Los Chichos, Gipsy kings, Vanesa Martin, Bebé, Los delincuentes, Camilo, Maluma, Enrique Iglesias entre muchos otros.",Completo,0,612
8913,2022-03-21,Deejay_D.D,Deejay_D.D,Cuenca,DJ,a:0:{},150,50,,,,,,,,,,,,,"a:4:{i:0;s:11:""Flamenquito"";i:1;s:5:""House"";i:2;s:9:""Reggeaton"";i:3;s:5:""Otros"";}",,,,,,,Completo,0,613
8914,2022-03-21,Mandi Mezzo,Mandi Mezzo,Málaga,Músico,"a:2:{i:0;s:7:""Solista"";i:1;s:4:""Dúo"";}",,,150,50,200,80,,,,,,,,,"a:3:{i:0;s:9:""Acústico"";i:1;s:3:""Pop"";i:2;s:4:""Soul"";}",https://www.youtube.com/watch?v=8eoqrwf-dO8,https://www.youtube.com/watch?v=8hUy3EUAHCE,https://www.youtube.com/watch?v=ar6dUr4S-uQ,,,,Completo,0,124
8916,2022-03-21,Dj Ricky,Dj Ricky,Barcelona,DJ,a:0:{},100,50,,,,,,,,,,,,,"a:7:{i:0;s:10:""Deep House"";i:1;s:5:""Disco"";i:2;s:5:""Funky"";i:3;s:5:""House"";i:4;s:3:""R&B"";i:5;s:9:""Reggeaton"";i:6;s:6:""Techno"";}",https://youtu.be/uwRysJ6yUyw,,,,,Mi especialidad es el deep house. En eventos lo que más me solicitan es el reggaeton. El disco-funky queda muy bien para eventos de tipo cocktail. En eventos como fiestas mayores acostumbro a poner summer hits. Y para fiesta privadas tiene mucho éxito el techno.,Completo,0,615
8921,2022-03-21,Jnm,Jnm,Málaga,Músico,"a:1:{i:0;s:7:""Solista"";}",,,150,50,,,,,,,,,,,"a:2:{i:0;s:9:""Reggeaton"";i:1;s:4:""Trap"";}",https://youtube.com/channel/UCUbs6r1nOsc0JIz2uhj7mow,,,,,,Completo,0,206
8923,2022-03-21,Chikano de Cuba,Chikano de Cuba,Baleares,Músico,"a:2:{i:0;s:7:""Solista"";i:1;s:4:""Dúo"";}",,,150,50,250,50,350,50,,,,,,,"a:10:{i:0;s:7:""Bachata"";i:1;s:7:""Karaoke"";i:2;s:6:""Latina"";i:3;s:8:""Mariachi"";i:4;s:8:""Merengue"";i:5;s:6:""Reggae"";i:6;s:9:""Reggeaton"";i:7;s:10:""Romántica"";i:8;s:5:""Salsa"";i:9;s:4:""Trap"";}",https://youtu.be/0lnVwG07qus,https://youtu.be/VlUOYRb8mI8,,,,,Completo,0,616
8932,2022-03-22,La Combinación CB,La Combinación CB,Baleares,Músico,"a:3:{i:0;s:4:""Dúo"";i:1;s:5:""Trío"";i:2;s:8:""Cuarteto"";}",,,,,200,80,280,100,380,120,,,,,"a:10:{i:0;s:9:""Acústico"";i:1;s:7:""Bachata"";i:2;s:6:""HipHop"";i:3;s:12:""Instrumental"";i:4;s:7:""Karaoke"";i:5;s:6:""Latina"";i:6;s:8:""Mariachi"";i:7;s:8:""Merengue"";i:8;s:5:""Salsa"";i:9;s:5:""Otros"";}",https://youtu.be/o8WUQRpgalc,,,,,,Completo,0,616
8934,2022-03-22,La Buena Onda con Jadey,La Buena Onda con Jadey,Zaragoza,Músico,"a:1:{i:0;s:27:""Banda/Conjunto sin batería"";}",,,,,,,,,,,600,160,,,"a:1:{i:0;s:9:""Comercial"";}",https://youtu.be/sPwl0gqObDY,,,,,"Caminando por la vida - Malendi
Soldadito marinero - Fito & fitipaldis
Zapatillas  - El Canto del Loco
Princesas- Pereza
Superjunkies- Pereza
El hit (Todos los días sale el sol + vivir mi vida + la gozadera) - Mash-up (La pegatina con Bongo Botrako, Marc Anthony, Gente de Zona)
Besos- El Canto del Loco
Batmóvil remix - Hens y Pole, Funzo y Babyloud
Devuélveme a mi chica - Hombre G
Física o química - Despistaos
Bailemos - Dani Fernández
Joven para siempre - Funzo y babyloud
El fin del mundo - La La Love You
Back In Black -ACDC
Mix rock español (cuando brille el sol + rnr en la plaza del pueblo + FFF + hace calor) - Mash-up (La guardia, Tequila, Loquillo, Los Rodriguez)
La raja de tu falda - Estopa
No puedo vivir sin t i- Coque Maya
Marta, Sebas, Guille y los demás (Mis amigos)	- Amaral
Ni una sola palabra - Paulina Rubio
No dudaría - Antonio Flores
Mon amour - ZZoilo
El vals del obrero - Ska-p
Vivir así es morir de amor - Nathy Peluso
Plan A - Paulo londra
Inmortales - Funzo y Baby Loud
Purpurina - Alberto Gambino
La bamba - Los Lobos
Se iluminaba - Ana Mena ft. De Palma
Watermelon sugar- Harry styles
Amorfoda - Bad Bunny",Completo,1,617
8974,2022-03-22,Joker Rock Band,Joker Rock Band,Málaga,Músico,"a:2:{i:0;s:27:""Banda/Conjunto sin batería"";i:1;s:18:""Banda con batería"";}",,,,,,,,,,,400,160,500,180,"a:2:{i:0;s:3:""Pop"";i:1;s:4:""Rock"";}",https://youtu.be/-PoQVT41Xes,https://youtu.be/FHkhTNZYdaQ,https://youtu.be/_iJa7CSOAqQ,,,"La Flaca. Jarabe de palo
Money for nothing. Dire strairs
Creep. Radiohead
En algun lugar. Duncan Dhu
Por las noches. Los Ronaldos
Aint no sunshine. Bill Withers
Song 2, Blur
Wonderwall. Oasis
Garabatos. Fito y fitipaldis
You never can tell. Chuck Berry
I want to break free. Queen
Dont look back in anger. Oasis
Maggie May. M Clan
Walking by myself. Gary Moore
Hotel California. Eagles
Insurrección. Manolo Garcia
Crazy little thinks calls love. Queen
Guardalo. Los Ronaldos
I still havent found. U2
El ritmo de garaje. Loquillo
Seven Nation Army. White Stripes
Acabo de llegar. Fito y fitipaldis
Basket case. Green day
Vertigo. U2
Llamando a la tierra. M clan
Apuesta por el R&R. Heroes del silencio
Voy a pasarmelo bien. Hombres G
Carolina. M Clan
Come together. Beatles
A este lado de la carretera. Danza Invisible
No puedo vivjr sin ti. Los Ronaldos
Old time R&R. Bob Seger ... y algunas mas que se han metido ultimamente",Completo,0,619
8979,2022-03-22,Rafa moreno,Rafa moreno,Córdoba,Músico,"a:2:{i:0;s:5:""Trío"";i:1;s:18:""Banda con batería"";}",,,,,,,750,375,,,,,1000,500,"a:4:{i:0;s:11:""Flamenquito"";i:1;s:3:""Pop"";i:2;s:4:""Rock"";i:3;s:5:""Rumba"";}",https://youtu.be/vmDPdS2oRrU,https://youtu.be/vmDPdS2oRrU,,,,"Repertorio inmenso de canciones tanto de pop, flamenquito, rumbitas, sevillanas, canciones modernas, canciones más antiguas , Antonio Orozco, Alejandro Sanz, manzanita, niña Pastori, rumbas populares, de todo un poco",Completo,0,621
8981,2022-03-22,Aquell Parell,Aquell Parell,Barcelona,Músico,"a:1:{i:0;s:4:""Dúo"";}",,,,,800,0,,,,,,,,,"a:4:{i:0;s:9:""Acústico"";i:1;s:9:""Hard Rock"";i:2;s:3:""Pop"";i:3;s:4:""Rock"";}",https://youtu.be/-pYb7x4rIRA%20,,,,,,Completo,0,620
9001,2022-03-22,SINESTESIA,SINESTESIA,Valladolid,Músico,"a:1:{i:0;s:18:""Banda con batería"";}",,,,,,,,,,,,,1200,400,"a:3:{i:0;s:5:""Indie"";i:1;s:3:""Pop"";i:2;s:4:""Rock"";}",https://www.youtube.com/watch?v=QAeliJjs7m0,https://www.youtube.com/watch?v=0xNHgf2-RVg,https://www.youtube.com/watch?v=6gJ7BEWDfhc,,,"01 – TONTERIAS
02 – EL INCENDIO 
03 – ERRANTE
04 – AÑOS 80
05 – RINCÓN EXQUISITO
06 – TODO LO QUE IMPORTA
07 – CARIÑO
08 – SOLO QUIERO BAILAR
09 – NO GIRES
10 – EL FIN DEL MUNDO
11 – MIRLO BLANCO
12 - COPENHAGUE
13 – EL NUDO Y LA ESPERANZA
14 – EL POZO
15 – MIRA CÓMO VUELO
16 – COMO SI FUERAS A MORIR MAÑANA
17 – EN INVIERNO
18 – VALIENTE
19 – HÉROES DEL SÁBADO
20 – EMBORRACHARME
21 – LA MUJER DE VERDE",Completo,0,622
9004,2022-03-22,DJ Bacardit,DJ Bacardit,Lérida,DJ,a:0:{},250,70,,,,,,,,,,,,,"a:4:{i:0;s:5:""Dance"";i:1;s:3:""EDM"";i:2;s:3:""Pop"";i:3;s:9:""Reggeaton"";}",https://www.youtube.com/watch?v=8ZnAHqZkB9g&list=PLoJuC_FTIenmHALglBqHluJTgA9x8uP1P&index=10,https://www.youtube.com/watch?v=xRNxGP-MN5Q,,,,,Completo,0,205
9005,2022-03-22,Gabriel Ferretti,Gabriel Ferretti,Madrid,Músico,"a:3:{i:0;s:7:""Solista"";i:1;s:4:""Dúo"";i:2;s:18:""Banda con batería"";}",,,150,100,250,100,,,,,,,500,200,"a:12:{i:0;s:7:""Bachata"";i:1;s:10:""Bossa Nova"";i:2;s:11:""Flamenquito"";i:3;s:7:""Karaoke"";i:4;s:6:""Latina"";i:5;s:3:""Pop"";i:6;s:9:""Reggeaton"";i:7;s:4:""Rock"";i:8;s:5:""Samba"";i:9;s:5:""Salsa"";i:10;s:15:""Tributo a banda"";i:11;s:5:""Otros"";}",,,,,,,Completo,0,623
9011,2022-03-22,ATILA,ATILA,Valladolid,DJ,a:0:{},50,20,,,,,,,,,,,,,"a:5:{i:0;s:9:""Chill out"";i:1;s:3:""EDM"";i:2;s:9:""Hardstyle"";i:3;s:5:""House"";i:4;s:6:""Techno"";}",,,,,,">EDM (Electronic Dance Music) - Avicii, David Guetta
>House - Camelphat, Cloone
>Future House - Don Diablo, Oliver Heldens
>Tech House - Chris Lake, Fisher
>Progressive House - Deadmau5, Eric Prydz
>Dance Hits - Guru Josh Project, Darude
>Hardstyle - HeadHunterz, Da Tweekaz
>Techno - HI-LO, Boris Brejcha",Completo,0,624
9012,2022-03-22,KEYZEN,KEYZEN,Madrid,DJ,a:0:{},180,45,,,,,,,,,,,,,"a:11:{i:0;s:7:""Bachata"";i:1;s:9:""Chill out"";i:2;s:5:""Dance"";i:3;s:10:""Deep House"";i:4;s:5:""Disco"";i:5;s:11:""Electronica"";i:6;s:5:""House"";i:7;s:6:""Latina"";i:8;s:3:""Pop"";i:9;s:9:""Reggeaton"";i:10;s:6:""Techno"";}",,,,,,,Completo,0,625
9015,2022-03-22,DG DJ,DG DJ,Valladolid,DJ,a:0:{},50,18,,,,,,,,,,,,,"a:2:{i:0;s:9:""Reggeaton"";i:1;s:6:""Techno"";}",,,,,,,Completo,0,626
